category,matched_keywords,answer_id,question_id,question_title,author_name,char_count,story_score,voteup_count,favorite_count,url,txt_file,json_file,sha256
01_悬疑惊悚,悬疑|恐怖|惊悚|灵异,90880089280,653336638,有什么好看的灵异、恐怖、悬疑、惊悚小说？,心情好,8706,0.97,242,72,https://www.zhihu.com/question/653336638/answer/90880089280,01_悬疑惊悚/90880089280_653336638.txt,01_悬疑惊悚/90880089280_653336638.json,846a6db1f05a71d76e4764409da8353842ddb18fa3a8ee6202c372efcfaa2e35
01_悬疑惊悚,悬疑|恐怖|惊悚|灵异,120071674958,653336638,有什么好看的灵异、恐怖、悬疑、惊悚小说？,九月金桂,5816,0.95,116,70,https://www.zhihu.com/question/653336638/answer/120071674958,01_悬疑惊悚/120071674958_653336638.txt,01_悬疑惊悚/120071674958_653336638.json,ed05cb452e42a0751f0e4a964bf404f15577c600f96c84961d33e52f22732b78
01_悬疑惊悚,恐怖|怪谈|规则怪谈,3354856516,605983664,有没有恐怖类的规则怪谈？,歌舞未央,5873,1.0,369,161,https://www.zhihu.com/question/605983664/answer/3354856516,01_悬疑惊悚/3354856516_605983664.txt,01_悬疑惊悚/3354856516_605983664.json,5616b93f06d35fba926e345b2d2bfbae20ee11102097310b2f2e0ab4e5e5fc87
01_悬疑惊悚,恐怖|怪谈|规则怪谈,3156414991,605983664,有没有恐怖类的规则怪谈？,我是安好,5726,1.0,202,135,https://www.zhihu.com/question/605983664/answer/3156414991,01_悬疑惊悚/3156414991_605983664.txt,01_悬疑惊悚/3156414991_605983664.json,8e1e2c93327d8b66b34b917e140f14b97fbeab8103a17038f8ffb50c6f1bbbec
01_悬疑惊悚,悬疑|惊悚|杀人,97642510225,346188028,有没有好看的惊悚悬疑小说？,黑心渣渣,5151,0.99,222,70,https://www.zhihu.com/question/346188028/answer/97642510225,01_悬疑惊悚/97642510225_346188028.txt,01_悬疑惊悚/97642510225_346188028.json,a75e311d8c299b55dcf5cc9dc037b9f217ca223aefe917c9a7477829dc0c5be7
01_悬疑惊悚,凶手|案件|破案,2352859143,388179662,有哪些案件是因为小细节破案的?,谁把我灯关了,5353,0.95,2480,545,https://www.zhihu.com/question/388179662/answer/2352859143,01_悬疑惊悚/2352859143_388179662.txt,01_悬疑惊悚/2352859143_388179662.json,84ee2900eaba44e69421fe7b76c08835ced04714e9f1a425152c38f7c8c5c03e
01_悬疑惊悚,凶手|案件|破案,2695000119,388179662,有哪些案件是因为小细节破案的?,九尾,6858,0.95,1220,157,https://www.zhihu.com/question/388179662/answer/2695000119,01_悬疑惊悚/2695000119_388179662.txt,01_悬疑惊悚/2695000119_388179662.json,56e83ee15b9e23bfe22666d64ff5a6e969f61df4df304edd39e129215a3956a2
01_悬疑惊悚,恐怖|杀人|案件,3341591390,40646841,最让你震惊的一宗杀人案件是什么？,案件手记,9985,0.9,1565,613,https://www.zhihu.com/question/40646841/answer/3341591390,01_悬疑惊悚/3341591390_40646841.txt,01_悬疑惊悚/3341591390_40646841.json,cca7aaebc0e0c70b648971c289899538a65252f7f05c4fe268328c8aa8fc3d5f
01_悬疑惊悚,杀人|案件|犯罪,2951498884,53467984,你听说过最残忍的杀人案件是什么？,八财,5291,0.9,128,193,https://www.zhihu.com/question/53467984/answer/2951498884,01_悬疑惊悚/2951498884_53467984.txt,01_悬疑惊悚/2951498884_53467984.json,76af2badb029114fd90c8982cddbd8ed656e7d134d9971d516121aed1decf076
01_悬疑惊悚,恐怖|诡异|灵异,3245201711,30051134,有没有好看的灵异恐怖小说推荐？,辰辰吖,8551,0.9,123,60,https://www.zhihu.com/question/30051134/answer/3245201711,01_悬疑惊悚/3245201711_30051134.txt,01_悬疑惊悚/3245201711_30051134.json,35e54e42a6cd0d70af116bd66d3eceae7c04894d3537271e4fe7264fb6a01421
