category,matched_keywords,answer_id,question_id,question_title,author_name,char_count,story_score,voteup_count,favorite_count,url,txt_file,json_file,sha256
01_悬疑惊悚,悬疑|恐怖|惊悚|灵异,1893790141807583430,653336638,有什么好看的灵异、恐怖、悬疑、惊悚小说？,荔枝汽水水,5380,0.98,188,86,https://www.zhihu.com/question/653336638/answer/1893790141807583430,01_悬疑惊悚/1893790141807583430_653336638.txt,01_悬疑惊悚/1893790141807583430_653336638.json,28484f5949cf586ad83c46a7ccfa45203da0ce44cda64b49891dae0d269b0da7
01_悬疑惊悚,悬疑|恐怖|惊悚|灵异,1895397176089227575,653336638,有什么好看的灵异、恐怖、悬疑、惊悚小说？,不借光,6663,0.97,10936,9798,https://www.zhihu.com/question/653336638/answer/1895397176089227575,01_悬疑惊悚/1895397176089227575_653336638.txt,01_悬疑惊悚/1895397176089227575_653336638.json,b9ab3d9011175856ed1309329bfd44b03efed03b068b08cc109ca5e75eece41c
01_悬疑惊悚,恐怖|惊悚|怪谈|规则怪谈,3415289999,605983664,有没有恐怖类的规则怪谈？,流晨,5262,1.0,127,52,https://www.zhihu.com/question/605983664/answer/3415289999,01_悬疑惊悚/3415289999_605983664.txt,01_悬疑惊悚/3415289999_605983664.json,47fe94cfcc898e9b40dd725e9bc51d0f09202d37222e8c22a49319f11d7af520
01_悬疑惊悚,恐怖|怪谈|规则怪谈,3350290970,605983664,有没有恐怖类的规则怪谈？,送我一朵云彩好么,8280,1.0,1582,774,https://www.zhihu.com/question/605983664/answer/3350290970,01_悬疑惊悚/3350290970_605983664.txt,01_悬疑惊悚/3350290970_605983664.json,9a25dfd56635ce990a8b7338df589b2f2faee2637c01f4e8854a825389d0aee4
01_悬疑惊悚,惊悚|怪谈|规则怪谈,2046237452927333348,584299454,有没有烧脑又惊悚的规则怪谈故事？,宇宙生存法则,6053,1.0,166,75,https://www.zhihu.com/question/584299454/answer/2046237452927333348,01_悬疑惊悚/2046237452927333348_584299454.txt,01_悬疑惊悚/2046237452927333348_584299454.json,5cb4a9b27d2adb1a90f91b3a03b418ac6761665fa26db12716bafe151a832a82
01_悬疑惊悚,悬疑|杀人|案件|细思极恐,3446325918,311306953,有哪些悬疑或者细思极恐的故事？,尘念,8624,1.0,2373,423,https://www.zhihu.com/question/311306953/answer/3446325918,01_悬疑惊悚/3446325918_311306953.txt,01_悬疑惊悚/3446325918_311306953.json,c3974961380c67797fbf9d9e193f0a58d31c5bdc84f448dd812d575d05128cc1
01_悬疑惊悚,悬疑|恐怖|凶手|杀人,2826113219,485980049,有没有什么恐怖悬疑的小故事？,阿陈,9449,0.99,425,170,https://www.zhihu.com/question/485980049/answer/2826113219,01_悬疑惊悚/2826113219_485980049.txt,01_悬疑惊悚/2826113219_485980049.json,2615b816df0c1c66bc65d9e7d3a66ec7dbc6d0ca4c880ab6c4faccb83473e4a8
01_悬疑惊悚,悬疑|推理|杀人|案件,3347834608,548390650,求一个极具反转的悬疑推理故事?,斗战胜佛,5278,0.9,524,279,https://www.zhihu.com/question/548390650/answer/3347834608,01_悬疑惊悚/3347834608_548390650.txt,01_悬疑惊悚/3347834608_548390650.json,d09e4d752486283863c459e9443dddd08e6b3b370b003bd59d46b4aca07e389b
01_悬疑惊悚,悬疑|恐怖|案件,3348907581,632692832,有什么悬疑恐怖类的小说吗？,了一,6011,1.0,2005,1715,https://www.zhihu.com/question/632692832/answer/3348907581,01_悬疑惊悚/3348907581_632692832.txt,01_悬疑惊悚/3348907581_632692832.json,4092b42a14054b3435d83d0c61eca39142a71e52f53b152e27ee9b4a5a600849
01_悬疑惊悚,惊悚|案件|诡异,3147055499,582066263,你听过最惊悚吓人的案件是什么？,林伯廷Tim,8909,1.0,530,332,https://www.zhihu.com/question/582066263/answer/3147055499,01_悬疑惊悚/3147055499_582066263.txt,01_悬疑惊悚/3147055499_582066263.json,0b963d3d25479b618b82d021a37e55b31ec4bba0f993d26a44f8ddc18159c24e
